% f (Hz),Material Switch 2 index,Time (s),Coil current A (A),Coil current B (A),Coil current C (A),Coil voltage A (V),Coil voltage B (V),Coil voltage C (V),Axial torque (N*m),Rotor Losses (W),Stator Losses (W),Coil Losses (W)
50,1,0.0013491904146735274,1.4541033655985485,2.0638599158752946,-3.517963281473842,602.5232201561729,-284.70718388496863,-202.10816483971945,2.9768420497581123,1.3590645520518054,11.536886586760588,574.8831575401064
50,1,0.0013769681924513052,1.4821707168686364,2.03873072802587,-3.520901444894506,603.9767702710341,-300.0940322346242,-207.1636496429847,2.9853326676297014,1.3584725740638322,11.539448130442205,574.8831575401063
50,1,0.001404745970229083,1.510125195100178,2.01344628293824,-3.5235714780384173,593.2505550629614,-292.3478763921877,-189.00490665514786,2.9622257693569956,1.3580756445826128,11.540960124429123,574.8831575401064
50,1,0.0014325237480068609,1.5379646714514248,1.9880085061207904,-3.5259731775722147,562.8888760942948,-305.8553250963157,-192.8436703279055,2.950446143895201,1.3575801200647253,11.541435590096196,574.8831575401064
50,1,0.0014603015257846387,1.5656870258384685,1.962419334758712,-3.528106360597179,552.2825784893809,-324.2730331113904,-193.38942895132647,2.9595913548932646,1.3568551149283166,11.540511057645066,574.883157540106
50,1,0.0014880793035624165,1.5932901470966907,1.9366807175664744,-3.529970864663165,553.1119651651118,-314.63203164392263,-177.8393015405597,2.947264942288636,1.3562945296899154,11.539184864203227,574.8831575401063
50,1,0.0015158570813401944,1.620771933141538,1.9107946146394315,-3.531566547780969,629.9492916709535,-326.4616530484552,-183.45349243045473,2.985459423760067,1.3558288746159646,11.543979154349573,574.8831575401061
50,1,0.0015436348591179722,1.6481302911286027,1.8847629973045419,-3.5328932884331437,654.9223664576015,-339.8617684103101,-185.0350892849694,2.9989599908540554,1.3552247713414973,11.549885342577864,574.8831575401064
50,1,0.00157141263689575,1.675363137613002,1.8585878479702505,-3.5339509855832514,643.4243840645088,-335.59848269421394,-179.3312802753802,2.9898726851824655,1.3548519219182755,11.555174399557044,574.8831575401063
50,1,0.0015991904146735278,1.7024683987080402,1.83227115997552,-3.53473955868356,620.8423075531313,-351.2926082226611,-172.84128374968247,2.9864192143389645,1.3542148755302479,11.555998168990023,574.883157540106
50,1,0.0016269681924513057,1.7294440102431423,1.805814937438032,-3.5352589476811733,609.3918243152035,-360.8843871418518,-175.82005202186372,3.0008446234187174,1.353493026397061,11.555310334925885,574.8831575401064
50,1,0.0016547459702290835,1.7562879179210495,1.7792211951015613,-3.5355091130226097,587.9206423929675,-365.795836536053,-155.57162280872862,3.0001275816811535,1.352710780918714,11.549940836477278,574.883157540106
50,1,0.0016825237480068613,1.782998077474262,1.7524919581825473,-3.5354900356568093,563.5435546799632,-373.7826153781688,-158.1921861802495,2.9956130666143395,1.3518635777682533,11.542133855502762,574.8831575401061
50,1,0.0017103015257846391,1.8095724548207173,1.7256292622158707,-3.5352017170365877,561.3245042820829,-383.0378416554216,-158.1053800523668,3.003344726493638,1.3510702972565614,11.53328862392953,574.8831575401063
50,1,0.001738079303562417,1.8360090262186932,1.698635152899831,-3.5346441791185232,626.8113647180197,-376.94403960382596,-162.51890604732796,2.9787772209157435,1.3509560694983482,11.530833426378747,574.8831575401063
50,1,0.0017658570813401948,1.8623057784209243,1.6715116859403645,-3.5338174643612876,643.488933104241,-379.7733834497377,-162.75675799069148,2.9680969098049426,1.350775323095456,11.530550829578852,574.8831575401064
50,1,0.0017936348591179726,1.8884607088279188,1.6442609268944928,-3.5327216357224103,648.2199734546963,-396.9273411054189,-156.20008637209554,2.975040460287101,1.3504609810710904,11.528771837665957,574.8831575401064
50,1,0.0018214126368957504,1.9144718256404634,1.616884951013022,-3.5313567766534852,642.7224406781769,-406.886753135302,-150.77202056229385,2.9820177425161862,1.3500233737553944,11.526099437883571,574.8831575401061
50,1,0.0018491904146735283,1.9403371480113063,1.5893858430825083,-3.529722991093814,630.2501163135129,-406.4647290443105,-146.36242361374508,2.984435363490933,1.349387880477238,11.524219218285781,574.8831575401064
50,1,0.001876968192451306,1.9660547061960072,1.5617656972664864,-3.5278204034624925,619.5867528828895,-424.7548483753079,-137.44492500183077,2.9972994708916447,1.3486937306732432,11.519995857164295,574.8831575401064
50,1,0.001904745970229084,1.9916225417029412,1.5340266169459944,-3.5256491586489354,598.3469005983578,-434.4914335399071,-136.38561560404963,3.01181276611308,1.347885142147676,11.514397971514361,574.8831575401061
50,1,0.0019325237480068618,2.017038707442444,1.5061707145593977,-3.523209422001842,576.3341774661782,-427.74991468789085,-134.504012525139,3.004269279146166,1.3471588809525101,11.509529010341849,574.8831575401059
50,1,0.0019603015257846396,2.0423012678750925,1.4782001114415104,-3.5205013793166025,588.3475436785785,-440.41702967376585,-128.63293731448275,2.942833116353979,1.3467084345546725,11.50551121011283,574.883157540106
